recessione	PIL	2.0
Cesare	Giulio Cesare	3.5
paziente	sessione	3.5
comportamentismo	terapia	1.0
imperatore	costituzione	1.5
matematico	spettacolo	0.0
entropia	informazione	2.0
acqua di rose	olio di rosa	2.0
agrume	pompelmo	3.0
Regina Vittoria	Inghilterra	3.5
Giochi Olimpici	spirito	1.5
vescovo	musulmano	3.0
uomo	sospetto	2.0
meteorite	Terra	2.5
simbolo	segno	4.0
antropologia	New York	0.5
tramonto	tavolo	0.0
cittadina	città	4.0
giacca	acqua minerale	0.0
natura	flora	3.5
subroutine	compilatore	3.0
Hamadan	Roma	2.0
ombrello	stufa	0.0
onore	stima	1.5
insegna	dignità	0.5
schermo	monitor	4.0
joystick	radar	1.5
basmati	riso jasmine	3.5
medaglia	scarpe da ginnastica	1.0
legge	piscina	0.0
sorgente	scatola	0.0
teatro	batteria	3.0
flora	web browser	0.0
camicia	cardigan	3.0
poema	ritmo	2.0
profeta	prete	2.0
Oscar	stadio	2.0
backgammon	Go	3.0
farfalla	rosa	1.0
recinto	salto	0.5
nichilismo	film	0.5
asteroide	stella	3.0
sommossa	disegno	0.0
intimo	corpo	2.5
Boeing	aereo	3.5
cameo	interpretazione	2.5
mondo	Asia	3.0
arancia	agrume	3.5
ghiacciaio	riscaldamento globale	1.5
galleria	percorso	2.0
