terremoto	scossa	3.4
patrimonio	azione	0.3
ebreo	Gerusalemme	2.0
nuvolosità	previsione	1.2
dizionario	enciclopedia	3.1
zecca	museo	0.0
sedia	sgabello	3.2
spagnolo	umidità	0.0
lattina	bottiglia	2.0
mosca	formica	2.8
mito	satira	1.0
centro della città	autobus	1.1
coda	Boeing 747-200	2.1
opera d'arte	artista	2.6
NATO	alleanza	3.0
re	sovrano	4.0
ritmo	cadenza	2.4
Alexander Fleming	penicillina	2.5
flauto	musica	2.6
airone cenerino	lago	1.8
viscosità	spruzzo	0.8
hardware	case	2.7
anello	fidanzamento	2.0
latino	tedesco	1.9
classe operaia	fabbrica	2.6
Shakespeare	Dickens	1.8
banconota	prete	0.0
strumento	lavoro	1.1
cinghiale nano	suidi	3.3
suffragio	uscita	0.1
stella	luminosità	2.1
trota	chitarra	0.0
dollaro	milionario	1.4
cifra	numero	3.5
burrasca	coperta	0.9
Obama	Clinton	2.8
personaggio secondario	film	2.2
Juventus	Bayern Monaco	3.1
cambiamento climatico	precipitazione	2.7
IA	batteria	0.2
capolavoro	Gioconda	1.5
crimine	aggressione	2.9
incoronazione	acqua	0.0
vocalista	pentagramma	1.8
spareggio	pallacanestro	1.9
forze armate	difesa	2.2
lago	nuvola	0.3
monastero	doccia	0.1
lingua madre	lingua	3.1
porto	incarto	0.0
