terremoto	scossa	bn:00029448n	bn:00029441n	sisma,attivita sismica,tremito	microsisma,microsismo
patrimonio	azione	bn:00080746n	bn:00070912n	ricchezza,ricco,facoltoso	compartecipazione,quota
ebreo	Gerusalemme	bn:00043492n	bn:00015555n	israelita,giudeo	Gerico
nuvolosita	previsione	bn:00020002n	bn:00004638n	nube,nembo	anticipazione,predizione,vaticinio
dizionario	enciclopedia	bn:00026967n	bn:00024746n	vocabolario,lessico,calepino	opera di consultazione
zecca	museo	bn:00055225n	bn:00056426n	monete	manufatti,scienza
sedia	sgabello	bn:00017515n	bn:00074427n	seggiola,gamba della sedia	panchetto
spagnolo	umidità	bn:00073092n	bn:00045190n	Lingua spagnola	vapore acqueo
lattina	bottiglia	bn:00072586n	bn:00012339n	bibite	contenitore d alluminio	vetro,liquidi
mosca	formica	bn:13319918n	bn:00004458n	insetto	insetto
mito	satira	bn:00056669n	bn:00013998n	racconto mitologico	caricatura
coda	Boeing 747-200	bn:00030590n	bn:03226093n	aeromobile,impennaggio	aereo
opera d'arte	artista	bn:00081581n	bn:00006182n	creazione artistica	attività artistica
NATO	alleanza	bn:00056978n	bn:03544293n	organizzazione internazionale	associazione,patto
re	sovrano	bn:00024097n	bn:00024097n	regnante	regnante
ritmo	cadenza	bn:00009396n	bn:00014520n	tempo	teoria musicale,composizione
Alexander Fleming	penicillina	bn:00002616n	bn:00061363n	medico,farmacologo	antibiotici
flauto	musica	bn:00035477n	bn:00056443n	aerofoni labiali	melomane
airone cenerino	lago	bn:16449236n	bn:00049709n	uccello	massa di acqua
viscosità	spruzzo	bn:00080092n	bn:00073618n	vischiosità,grandezza fisica	acqua
hardware	case	bn:00021480n	bn:00262368n	materiale informatico	informatica,computer
anello	fidanzamento	bn:00008287n	bn:00010152n	gioiello	fidanzata,promessa sposa,promessa
latino	tedesco	bn:00050161n	bn:00040293n	Lingua latina	Lingua tedesca
classe operaia	fabbrica	bn:00049570n	bn:00032675n	classe lavoratrice,lavoro,lavoranti	stabilimento,manifattura,impianto
Shakespeare	Dickens	bn:00008556n	bn:00017842n	drammaturgo,poeta inglese	scrittore,giornalista,reporter
banconota	prete	bn:00008375n	bn:00057892n	biglietto di banca,biglietto,cambiale	religione
strumento	lavoro	bn:00077585n	bn:14959529n	utensile,arnese	attività produttiva,compenso
cinghiale nano	suidi	bn:03100066n	bn:00033468n	suide	maiali
suffragio	uscita	bn:00067845n	bn:00032243n	diritto di voto	andare fuori
stella	luminosità	bn:00073964n	bn:14292145n	astro,sole	stella,energia elettromagnetica,astronomia
trota	chitarra	bn:00078435n	bn:00042150n	pesce	strumento musicale,corde
dollaro	milionario	bn:00079129n	bn:00055058n	biglietto verde,dollaro USA	patrimonio
cifra	numero	bn:00025702n	bn:00058285n	simbolo,numeri,sistema numerico	grandezze,ente astratto
burrasca	coperta	bn:00074458n	bn:00011119n	bufera,temporale,fortunale	coltre,copriletto
Obama	Clinton	bn:03330021n	bn:00010400n	politico,presidente	presidente
personaggio secondario	film	bn:00206836n	bn:00034481n	personaggio,narrazione	produzione cinematografica
Juventus	Bayern Monaco	bn:00876765n	bn:00963795n	Torino,società calcistica	società polisportiva tedesca,Bundesliga
cambiamento climatico	precipitazione	bn:00019782n	bn:00028483n	cambiamento del clima,mutamento climatico	precipitazione atmosferica
IA	batteria	bn:00002150n	bn:00009064n	intelligenza artificiale	pila elettrica,accumulatore
capolavoro	Gioconda	bn:00053738n	bn:03571983n	opera ben riuscita	dipinto
crimine	aggressione	bn:00023807n	bn:00002015n	reato,delitto,misfatto,fattaccio	aggressività,atto di violenza
incoronazione	acqua	bn:00022800n	bn:00042379n	investitura,coronazione,incoronamento	H2O,composto chimico,atomi di idrogeno
spareggio	pallacanestro	bn:00062962n	bn:00008889n	play-off	basket,basketball,cestismo
forze armate	difesa	bn:00005732n	bn:00025878n	forze militari,militari	azione militare,difendere
lago	nuvola	bn:00049709n	bn:00020002n	massa di acqua	nube,nembo
monastero	doccia	bn:13460974n	bn:00071324n	monaci,monache,religioni	acqua,strumento,persona
lingua madre	lingua	bn:00034782n	bn:00049911n	madrelingua,lingua materna	linguaggio,parlare,parlata
porto	incarto	bn:00063640n	bn:00060120n	litorale marittimo,struttura,riva	imballo
